Proteins	Accession	MW	EMT.RB3.01	EMT.RB3.02	EMT.RB3.03	EMT.RB4.01	EMT.RB4.02	EMT.RB4.03	Ctrl.RB3.01	Ctrl.RB3.02	Ctrl.RB3.03	Ctrl.RB4.01	Ctrl.RB4.02	Ctrl.RB4.03
Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens GN=HNRPDL PE=1 SV=3	HNRDL_HUMAN	46 kDa	11	12	13	11	8	12	11	13	8	13	11	8
Protein CYR61 OS=Homo sapiens GN=CYR61 PE=1 SV=1	CYR61_HUMAN	42 kDa	9	9	7	8	10	10	7	9	5	8	9	7
Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens GN=HNRNPC PE=1 SV=4	HNRPC_HUMAN	34 kDa	11	14	12	6	8	8	8	6	9	4	5	6
Receptor-type tyrosine-protein phosphatase eta OS=Homo sapiens GN=PTPRJ PE=1 SV=3	PTPRJ_HUMAN	146 kDa	4	3	4	5	4	3	13	13	11	19	13	13
Actin-related protein 2/3 complex subunit 5 OS=Homo sapiens GN=ARPC5 PE=1 SV=3	ARPC5_HUMAN	16 kDa	9	10	11	12	9	10	8	7	9	6	8	7
Glucosamine-6-phosphate isomerase 1 OS=Homo sapiens GN=GNPDA1 PE=1 SV=1	GNPI1_HUMAN	33 kDa	6	9	6	9	8	11	10	6	7	8	7	11
Non-histone chromosomal protein HMG-14 OS=Homo sapiens GN=HMGN1 PE=1 SV=3	HMGN1_HUMAN	11 kDa	7	5	6	10	7	7	8	6	6	5	7	7
Matrilin-3 OS=Homo sapiens GN=MATN3 PE=1 SV=2	MATN3_HUMAN	53 kDa	6	7	7	6	4	7	10	12	8	10	4	6
NSFL1 cofactor p47 OS=Homo sapiens GN=NSFL1C PE=1 SV=2	NSF1C_HUMAN	41 kDa	6	3	4	7	3	4	13	15	11	10	6	5
Macrophage colony-stimulating factor 1 OS=Homo sapiens GN=CSF1 PE=1 SV=2	CSF1_HUMAN	60 kDa	2	2	1	3	2	4	12	13	14	16	14	15
Tropomyosin alpha-3 chain OS=Rattus norvegicus GN=Tpm3 PE=1 SV=2	TPM3_RAT	29 kDa	13	15	10	16	6	19	10	12	7	11	17	6
SUMO-activating enzyme subunit 2 OS=Homo sapiens GN=UBA2 PE=1 SV=2	SAE2_HUMAN	71 kDa	8	6	7	6	6	5	11	12	10	7	5	4
Low-density lipoprotein receptor-related protein 8 OS=Homo sapiens GN=LRP8 PE=1 SV=4	LRP8_HUMAN	106 kDa	4	3	3	3	3	5	13	18	10	15	12	11
Stanniocalcin-2 OS=Homo sapiens GN=STC2 PE=1 SV=1	STC2_HUMAN	33 kDa	3	3	4	5	3	3	10	12	7	16	11	13
Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens GN=SND1 PE=1 SV=1	SND1_HUMAN	102 kDa	4	6	8	9	6	3	11	11	13	8	4	6
Parathymosin OS=Bos taurus GN=PTMS PE=1 SV=2	PTMS_BOVIN	11 kDa	10	11	7	11	7	10	6	6	4	7	9	7
Thioredoxin domain-containing protein 17 OS=Homo sapiens GN=TXNDC17 PE=1 SV=1	TXD17_HUMAN	14 kDa	2	7	8	6	7	7	8	9	9	10	9	11
Actin-related protein 2/3 complex subunit 2 OS=Homo sapiens GN=ARPC2 PE=1 SV=1	ARPC2_HUMAN	34 kDa	7	8	7	9	10	5	6	6	3	6	3	4
Ubiquitin-conjugating enzyme E2 variant 1 OS=Homo sapiens GN=UBE2V1 PE=1 SV=2	UB2V1_HUMAN	16 kDa	7	6	8	6	5	5	8	7	6	7	7	2
Tissue factor pathway inhibitor OS=Homo sapiens GN=TFPI PE=1 SV=1	TFPI1_HUMAN	35 kDa	7	8	8	4	5	3	13	13	10	12	8	10
Syndecan-1 OS=Homo sapiens GN=SDC1 PE=1 SV=3	SDC1_HUMAN	32 kDa	7	8	10	10	9	8	7	6	3	5	7	2
Ran-specific GTPase-activating protein OS=Homo sapiens GN=RANBP1 PE=1 SV=1	RANG_HUMAN	23 kDa	10	7	7	7	5	6	11	6	6	6	6	6
Serpin B6 OS=Homo sapiens GN=SERPINB6 PE=1 SV=3	SPB6_HUMAN	43 kDa	7	6	5	9	6	7	9	9	10	11	6	8
Ubiquitin-conjugating enzyme E2 N OS=Homo sapiens GN=UBE2N PE=1 SV=1	UBE2N_HUMAN	17 kDa	9	9	8	8	9	6	9	9	10	5	8	8
Pro-neuregulin-1, membrane-bound isoform OS=Homo sapiens GN=NRG1 PE=1 SV=3	NRG1_HUMAN	70 kDa	6	8	7	6	8	11	5	5	4	6	6	6
Protein S100-A6 OS=Homo sapiens GN=S100A6 PE=1 SV=1	S10A6_HUMAN	10 kDa	3	3	2	3	3	3	5	5	4	6	3	3
SH3 domain-binding glutamic acid-rich-like protein 3 OS=Homo sapiens GN=SH3BGRL3 PE=1 SV=1	SH3L3_HUMAN (+2)	10 kDa	9	11	13	9	11	10	8	7	7	11	8	10
Low molecular weight phosphotyrosine protein phosphatase OS=Homo sapiens GN=ACP1 PE=1 SV=3	PPAC_HUMAN	18 kDa	10	9	7	6	6	6	9	9	7	9	8	8
Peptidyl-prolyl cis-trans isomerase FKBP3 OS=Homo sapiens GN=FKBP3 PE=1 SV=1	FKBP3_HUMAN	25 kDa	8	9	7	5	7	6	10	10	9	7	8	7
Microtubule-associated protein RP/EB family member 1 OS=Homo sapiens GN=MAPRE1 PE=1 SV=3	MARE1_HUMAN	30 kDa	6	8	11	7	6	8	6	4	8	6	3	3
Heterogeneous nuclear ribonucleoprotein A1-like 2 OS=Homo sapiens GN=HNRNPA1L2 PE=2 SV=2	RA1L2_HUMAN	34 kDa	36	48	45	35	40	35	45	44	37	43	43	39
LIM and cysteine-rich domains protein 1 OS=Homo sapiens GN=LMCD1 PE=1 SV=1	LMCD1_HUMAN	41 kDa	11	15	19	12	13	11	0	0	1	0	1	0
Adenylate kinase 2, mitochondrial OS=Homo sapiens GN=AK2 PE=1 SV=2	KAD2_HUMAN	26 kDa	8	8	7	7	7	8	7	9	6	9	8	7
Farnesyl pyrophosphate synthase OS=Homo sapiens GN=FDPS PE=1 SV=4	FPPS_HUMAN	48 kDa	2	7	7	7	5	7	8	10	8	9	7	5
Interleukin enhancer-binding factor 2 OS=Homo sapiens GN=ILF2 PE=1 SV=2	ILF2_HUMAN	43 kDa	7	10	8	8	7	4	8	9	6	6	2	2
AP-2 complex subunit beta OS=Homo sapiens GN=AP2B1 PE=1 SV=1	AP2B1_HUMAN	105 kDa	8	7	9	7	7	7	5	6	3	5	1	3
Deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial OS=Homo sapiens GN=DUT PE=1 SV=4	DUT_HUMAN	27 kDa	5	7	6	6	7	5	8	9	8	8	8	8
Methionine aminopeptidase 2 OS=Homo sapiens GN=METAP2 PE=1 SV=1	AMPM2_HUMAN	53 kDa	8	5	10	7	5	5	13	4	5	4	5	5
Alpha-N-acetylglucosaminidase OS=Homo sapiens GN=NAGLU PE=1 SV=2	ANAG_HUMAN	82 kDa	1	1	2	2	0	1	10	13	9	20	15	13
Lamina-associated polypeptide 2, isoform alpha OS=Homo sapiens GN=TMPO PE=1 SV=2	LAP2A_HUMAN	75 kDa	11	10	7	6	6	10	5	8	6	7	8	5
Cytochrome c oxidase subunit 6B1 OS=Homo sapiens GN=COX6B1 PE=1 SV=2	CX6B1_HUMAN	10 kDa	7	7	7	4	3	7	8	7	6	10	10	6
Caprin-1 OS=Homo sapiens GN=CAPRIN1 PE=1 SV=2	CAPR1_HUMAN	78 kDa	10	8	7	6	6	4	8	11	5	10	5	4
Alpha-mannosidase 2 OS=Homo sapiens GN=MAN2A1 PE=1 SV=2	MA2A1_HUMAN	131 kDa	4	3	3	4	3	4	10	12	9	9	10	10
Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens GN=TGM2 PE=1 SV=2	TGM2_HUMAN	77 kDa	13	16	13	12	11	11	1	2	2	0	0	0
Lysine--tRNA ligase OS=Homo sapiens GN=KARS PE=1 SV=3	SYK_HUMAN	68 kDa	7	5	7	6	6	5	8	9	7	8	8	5
RNA-binding motif protein, X chromosome OS=Homo sapiens GN=RBMX PE=1 SV=3	RBMX_HUMAN	42 kDa	11	8	10	9	9	8	5	5	6	7	4	5
V-type proton ATPase subunit S1 OS=Homo sapiens GN=ATP6AP1 PE=1 SV=2	VAS1_HUMAN	52 kDa	4	4	2	6	6	5	9	10	6	13	10	10
Amyloid-like protein 1 OS=Homo sapiens GN=APLP1 PE=1 SV=3	APLP1_HUMAN	72 kDa	5	4	6	5	7	4	7	9	6	9	7	7
Protein CutA OS=Homo sapiens GN=CUTA PE=1 SV=2	CUTA_HUMAN	19 kDa	5	6	4	6	5	5	11	9	9	7	9	7
Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2	SRC8_HUMAN	62 kDa	7	5	7	7	6	7	8	8	6	8	7	5
Heat shock 70 kDa protein 6 OS=Homo sapiens GN=HSPA6 PE=1 SV=2	HSP76_HUMAN	71 kDa	23	25	30	25	22	26	39	36	37	33	30	31
Pterin-4-alpha-carbinolamine dehydratase OS=Homo sapiens GN=PCBD1 PE=1 SV=2	PHS_HUMAN	12 kDa	6	3	3	5	5	6	8	11	5	9	8	8
Histidine triad nucleotide-binding protein 1 OS=Homo sapiens GN=HINT1 PE=1 SV=2	HINT1_HUMAN	14 kDa	7	5	7	4	5	5	6	8	5	3	4	2
NAD(P)H-hydrate epimerase OS=Homo sapiens GN=APOA1BP PE=1 SV=2	NNRE_HUMAN	32 kDa	3	4	6	5	4	5	8	8	10	11	9	10
Putative phospholipase B-like 2 OS=Homo sapiens GN=PLBD2 PE=1 SV=2	PLBL2_HUMAN	65 kDa	4	4	5	6	5	4	8	10	9	11	8	9
Vitamin K-dependent protein S OS=Homo sapiens GN=PROS1 PE=1 SV=1	PROS_HUMAN	75 kDa	4	4	2	3	3	10	7	9	7	8	6	6
Far upstream element-binding protein 1 OS=Homo sapiens GN=FUBP1 PE=1 SV=3	FUBP1_HUMAN	68 kDa	8	8	8	6	5	5	9	9	6	1	3	1
Anthrax toxin receptor 1 OS=Homo sapiens GN=ANTXR1 PE=1 SV=2	ANTR1_HUMAN	63 kDa	2	3	4	5	3	5	9	8	4	11	8	8
Gelsolin OS=Bos taurus GN=GSN PE=2 SV=1	GELS_BOVIN	81 kDa	17	15	11	21	12	21	9	5	5	5	16	10
Endoplasmic reticulum resident protein 29 OS=Homo sapiens GN=ERP29 PE=1 SV=4	ERP29_HUMAN	29 kDa	3	3	2	6	3	5	10	11	9	12	8	7
Retinoic acid receptor responder protein 1 OS=Homo sapiens GN=RARRES1 PE=2 SV=2	TIG1_HUMAN	33 kDa	3	2	3	4	4	3	11	12	12	10	11	11
Keratin, type II cuticular Hb1 OS=Homo sapiens GN=KRT81 PE=1 SV=3	KRT81_HUMAN	55 kDa	4	6	5	7	8	6	11	12	12	3	4	3
Histone H2A type 2-A OS=Homo sapiens GN=HIST2H2AA3 PE=1 SV=3	H2A2A_HUMAN (+1)	14 kDa	5	6	5	4	5	8	5	5	3	7	7	6
Small nuclear ribonucleoprotein Sm D2 OS=Homo sapiens GN=SNRPD2 PE=1 SV=1	SMD2_HUMAN	14 kDa	6	7	8	6	4	4	11	8	9	7	8	7
60S acidic ribosomal protein P1 OS=Homo sapiens GN=RPLP1 PE=1 SV=1	RLA1_HUMAN (+1)	12 kDa	8	11	11	11	10	9	16	11	9	8	8	10
Nuclear migration protein nudC OS=Homo sapiens GN=NUDC PE=1 SV=1	NUDC_HUMAN	38 kDa	7	9	4	4	5	4	9	7	8	3	4	5
T-complex protein 1 subunit epsilon OS=Homo sapiens GN=CCT5 PE=1 SV=1	TCPE_HUMAN	60 kDa	7	6	2	4	4	6	9	6	6	1	1	2
S-phase kinase-associated protein 1 OS=Homo sapiens GN=SKP1 PE=1 SV=2	SKP1_HUMAN	19 kDa	5	5	4	4	3	4	6	9	5	7	7	5
Beta-galactoside alpha-2,6-sialyltransferase 2 OS=Homo sapiens GN=ST6GAL2 PE=1 SV=2	SIAT2_HUMAN	60 kDa	2	2	2	1	2	0	12	13	9	10	10	7
TATA-binding protein-associated factor 2N OS=Homo sapiens GN=TAF15 PE=1 SV=1	RBP56_HUMAN	62 kDa	10	8	9	7	11	11	12	16	14	14	13	13
High mobility group protein B3 OS=Homo sapiens GN=HMGB3 PE=1 SV=4	HMGB3_HUMAN	23 kDa	5	6	8	5	2	4	12	9	12	2	5	4
Hematological and neurological expressed 1-like protein OS=Homo sapiens GN=HN1L PE=1 SV=1	HN1L_HUMAN	20 kDa	7	8	8	7	7	9	5	5	5	7	6	6
Superoxide dismutase [Cu-Zn] OS=Homo sapiens GN=SOD1 PE=1 SV=2	SODC_HUMAN	16 kDa	5	7	4	5	4	4	9	5	9	12	8	6
Ras GTPase-activating protein-binding protein 1 OS=Homo sapiens GN=G3BP1 PE=1 SV=1	G3BP1_HUMAN	52 kDa	8	7	8	5	5	6	6	6	3	6	3	5
Hemoglobin fetal subunit beta OS=Bos taurus PE=1 SV=1	HBBF_BOVIN	16 kDa	5	5	5	9	5	4	5	6	6	8	6	4
Histone H2B type F-S OS=Homo sapiens GN=H2BFS PE=1 SV=2	H2BFS_HUMAN	14 kDa	5	7	6	6	10	6	5	8	3	6	6	6
PDZ and LIM domain protein 1 OS=Homo sapiens GN=PDLIM1 PE=1 SV=4	PDLI1_HUMAN	36 kDa	4	4	6	3	2	4	9	8	9	7	5	9
Ubiquitin carboxyl-terminal hydrolase 14 OS=Homo sapiens GN=USP14 PE=1 SV=3	UBP14_HUMAN	56 kDa	10	8	6	7	7	5	5	5	6	4	4	3
Protein dpy-30 homolog OS=Homo sapiens GN=DPY30 PE=1 SV=1	DPY30_HUMAN	11 kDa	7	8	6	8	6	6	8	8	5	7	7	6
Cathepsin L2 OS=Homo sapiens GN=CTSL2 PE=1 SV=2	CATL2_HUMAN	37 kDa	4	4	4	5	3	3	10	14	6	9	6	5
Actin-related protein 2 OS=Homo sapiens GN=ACTR2 PE=1 SV=1	ARP2_HUMAN	45 kDa	10	5	8	7	8	7	5	7	4	2	3	4
Neutral alpha-glucosidase AB OS=Homo sapiens GN=GANAB PE=1 SV=3	GANAB_HUMAN	107 kDa	4	4	2	6	7	3	9	12	10	7	5	6
Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 OS=Homo sapiens GN=PIN4 PE=1 SV=1	PIN4_HUMAN	14 kDa	6	8	6	8	6	6	7	6	7	7	7	6
Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=AARS PE=1 SV=2	SYAC_HUMAN	107 kDa	3	1	3	2	2	3	9	12	3	8	3	4
Small ubiquitin-related modifier 3 OS=Homo sapiens GN=SUMO3 PE=1 SV=2	SUMO3_HUMAN	12 kDa	5	6	5	6	3	7	4	5	5	5	4	4
Thioredoxin domain-containing protein 5 OS=Homo sapiens GN=TXNDC5 PE=1 SV=2	TXND5_HUMAN	48 kDa	8	5	6	8	6	4	3	3	2	4	4	0
N-acetylgalactosaminyltransferase 7 OS=Homo sapiens GN=GALNT7 PE=1 SV=1	GALT7_HUMAN	75 kDa	1	1	1	2	1	1	10	13	9	13	11	10
Heat shock-related 70 kDa protein 2 OS=Homo sapiens GN=HSPA2 PE=1 SV=1	HSP72_HUMAN	70 kDa	34	37	40	37	35	34	49	47	42	38	35	31
Omega-amidase NIT2 OS=Homo sapiens GN=NIT2 PE=1 SV=1	NIT2_HUMAN	31 kDa	8	8	6	7	6	4	5	9	4	7	6	5
HLA class I histocompatibility antigen, Cw-12 alpha chain OS=Homo sapiens GN=HLA-C PE=1 SV=2	1C12_HUMAN	41 kDa	3	2	1	5	5	1	9	10	6	16	10	12
MUC16_HUMAN-DECOY	MUC16_HUMAN-DECOY	?	0	0	0	0	0	0	0	2	0	0	0	0
Vascular endothelial growth factor C OS=Homo sapiens GN=VEGFC PE=1 SV=1	VEGFC_HUMAN	47 kDa	7	5	6	4	5	10	4	6	4	4	6	4
Importin subunit alpha-2 OS=Homo sapiens GN=KPNA2 PE=1 SV=1	IMA2_HUMAN	58 kDa	5	7	5	6	5	5	7	7	5	3	5	3
Dihydrolipoyl dehydrogenase, mitochondrial OS=Homo sapiens GN=DLD PE=1 SV=2	DLDH_HUMAN	54 kDa	4	6	6	4	6	6	4	6	7	10	6	6
Translin OS=Homo sapiens GN=TSN PE=1 SV=1	TSN_HUMAN	26 kDa	9	6	7	11	8	7	5	4	5	6	3	5
F-actin-capping protein subunit alpha-1 OS=Homo sapiens GN=CAPZA1 PE=1 SV=3	CAZA1_HUMAN	33 kDa	10	9	8	6	7	5	8	8	5	6	3	4
Thimet oligopeptidase OS=Homo sapiens GN=THOP1 PE=1 SV=2	THOP1_HUMAN	79 kDa	5	3	1	8	7	4	5	10	3	10	9	4
Asparagine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=NARS PE=1 SV=1	SYNC_HUMAN	63 kDa	6	3	1	3	2	3	8	8	9	10	7	5
Aspartate aminotransferase, mitochondrial OS=Homo sapiens GN=GOT2 PE=1 SV=3	AATM_HUMAN	48 kDa	8	6	7	9	5	7	5	3	0	10	11	8
Lysosomal Pro-X carboxypeptidase OS=Homo sapiens GN=PRCP PE=1 SV=1	PCP_HUMAN	56 kDa	4	4	6	5	5	5	6	9	8	9	7	7
Eukaryotic translation initiation factor 1A, X-chromosomal OS=Homo sapiens GN=EIF1AX PE=1 SV=2	IF1AX_HUMAN	16 kDa	6	5	4	2	5	5	4	8	3	1	4	4
Calcyclin-binding protein OS=Homo sapiens GN=CACYBP PE=1 SV=2	CYBP_HUMAN	26 kDa	6	5	6	8	4	4	8	6	8	5	6	5
Tumor necrosis factor receptor superfamily member 12A OS=Homo sapiens GN=TNFRSF12A PE=1 SV=1	TNR12_HUMAN	14 kDa	3	6	5	6	5	4	6	4	4	5	6	7
Ephrin-A1 OS=Homo sapiens GN=EFNA1 PE=1 SV=2	EFNA1_HUMAN	24 kDa	4	8	8	4	6	9	1	3	2	2	3	3
Ephrin type-B receptor 2 OS=Homo sapiens GN=EPHB2 PE=1 SV=5	EPHB2_HUMAN	117 kDa	8	10	10	11	11	9	2	1	1	3	0	3
Prefoldin subunit 3 OS=Homo sapiens GN=VBP1 PE=1 SV=3	PFD3_HUMAN	23 kDa	5	4	6	6	6	4	7	7	7	7	5	5
Protein phosphatase 1 regulatory subunit 14B OS=Homo sapiens GN=PPP1R14B PE=1 SV=3	PP14B_HUMAN	16 kDa	7	8	6	8	9	8	3	4	3	4	2	5
Hepatitis A virus cellular receptor 1 OS=Homo sapiens GN=HAVCR1 PE=1 SV=2	HAVR1_HUMAN	39 kDa	3	2	3	2	2	3	8	6	5	6	5	7
Transmembrane protein 132A OS=Homo sapiens GN=TMEM132A PE=2 SV=1	T132A_HUMAN	110 kDa	5	8	7	7	8	7	0	3	0	4	1	0
Adapter molecule crk OS=Homo sapiens GN=CRK PE=1 SV=2	CRK_HUMAN	34 kDa	6	3	3	8	8	4	8	6	5	4	5	4
Alpha-fetoprotein OS=Bos taurus GN=AFP PE=2 SV=1	FETA_BOVIN	69 kDa	3	4	2	6	4	5	3	0	3	3	7	8
Acid ceramidase OS=Homo sapiens GN=ASAH1 PE=1 SV=5	ASAH1_HUMAN	45 kDa	2	2	2	2	1	2	8	10	10	8	9	6
Histone H3.2 OS=Homo sapiens GN=HIST2H3A PE=1 SV=3	H32_HUMAN	15 kDa	5	9	5	4	5	4	5	3	0	5	2	2
CAD protein OS=Homo sapiens GN=CAD PE=1 SV=3	PYR1_HUMAN	243 kDa	3	4	3	4	4	2	6	11	3	4	6	5
Aspartyl aminopeptidase OS=Homo sapiens GN=DNPEP PE=1 SV=1	DNPEP_HUMAN	52 kDa	5	5	3	7	5	3	6	5	4	5	7	5
Thioredoxin domain-containing protein 12 OS=Homo sapiens GN=TXNDC12 PE=1 SV=1	TXD12_HUMAN	19 kDa	5	5	5	7	5	4	4	5	4	7	7	9
Dynein light chain 1, cytoplasmic OS=Homo sapiens GN=DYNLL1 PE=1 SV=1	DYL1_HUMAN	10 kDa	6	5	4	4	4	4	5	5	5	5	6	4
Histone-binding protein RBBP7 OS=Homo sapiens GN=RBBP7 PE=1 SV=1	RBBP7_HUMAN	48 kDa	10	10	10	10	7	7	7	10	4	5	1	4
Anterior gradient protein 2 homolog OS=Homo sapiens GN=AGR2 PE=1 SV=1	AGR2_HUMAN	20 kDa	0	0	0	0	0	0	10	12	10	14	7	7
Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens GN=HNRNPH1 PE=1 SV=4	HNRH1_HUMAN	49 kDa	12	10	9	10	7	8	11	12	8	11	6	7
Glutathione synthetase OS=Homo sapiens GN=GSS PE=1 SV=1	GSHB_HUMAN	52 kDa	2	3	2	4	3	4	6	9	2	9	6	3
Vasodilator-stimulated phosphoprotein OS=Homo sapiens GN=VASP PE=1 SV=3	VASP_HUMAN	40 kDa	4	6	9	6	3	8	3	3	0	2	1	3
Tumor protein D52 OS=Homo sapiens GN=TPD52 PE=1 SV=2	TPD52_HUMAN	24 kDa	7	8	7	8	6	6	4	6	7	4	4	5
Activated RNA polymerase II transcriptional coactivator p15 OS=Homo sapiens GN=SUB1 PE=1 SV=3	TCP4_HUMAN (+2)	14 kDa	5	3	3	4	3	4	9	10	9	7	6	7
Heat shock 70 kDa protein 13 OS=Homo sapiens GN=HSPA13 PE=1 SV=1	HSP13_HUMAN	52 kDa	1	7	4	3	5	3	2	4	2	4	2	5
Glycine cleavage system H protein, mitochondrial OS=Homo sapiens GN=GCSH PE=1 SV=2	GCSH_HUMAN	19 kDa	5	3	5	7	6	3	5	4	5	6	7	7
dCTP pyrophosphatase 1 OS=Homo sapiens GN=DCTPP1 PE=1 SV=1	DCTP1_HUMAN	19 kDa	6	6	5	6	6	4	9	5	6	8	5	6
Iduronate 2-sulfatase OS=Homo sapiens GN=IDS PE=1 SV=1	IDS_HUMAN	62 kDa	3	4	3	3	3	3	7	7	5	8	9	8
MARCKS-related protein OS=Homo sapiens GN=MARCKSL1 PE=1 SV=2	MRP_HUMAN	20 kDa	5	4	10	7	2	4	2	4	8	7	6	7
F-actin-capping protein subunit beta OS=Homo sapiens GN=CAPZB PE=1 SV=4	CAPZB_HUMAN	31 kDa	10	8	5	6	5	4	6	7	3	6	1	2
Proprotein convertase subtilisin/kexin type 5 OS=Homo sapiens GN=PCSK5 PE=1 SV=4	PCSK5_HUMAN	207 kDa	6	4	3	4	3	1	7	6	3	6	4	4
Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens GN=EPRS PE=1 SV=5	SYEP_HUMAN	171 kDa	6	11	8	5	4	6	5	7	5	2	1	2
Receptor-type tyrosine-protein phosphatase S OS=Homo sapiens GN=PTPRS PE=1 SV=3	PTPRS_HUMAN	217 kDa	0	3	4	2	5	1	1	3	2	3	2	1
Dickkopf-related protein 3 OS=Homo sapiens GN=DKK3 PE=1 SV=2	DKK3_HUMAN	38 kDa	3	3	4	4	4	1	5	3	4	6	8	7
Amphiregulin OS=Homo sapiens GN=AREG PE=1 SV=2	AREG_HUMAN	28 kDa	1	1	0	0	0	1	11	10	7	14	14	9
Protein TFG OS=Homo sapiens GN=TFG PE=1 SV=2	TFG_HUMAN	43 kDa	7	7	9	6	4	7	7	6	4	1	3	4
Ras suppressor protein 1 OS=Homo sapiens GN=RSU1 PE=1 SV=3	RSU1_HUMAN	32 kDa	4	5	6	3	4	3	6	8	2	3	3	3
Epidermal growth factor receptor OS=Homo sapiens GN=EGFR PE=1 SV=2	EGFR_HUMAN	134 kDa	5	8	8	7	10	5	1	4	2	6	3	2
S-formylglutathione hydrolase OS=Homo sapiens GN=ESD PE=1 SV=2	ESTD_HUMAN	31 kDa	5	4	4	3	3	5	4	5	4	11	5	5
THO complex subunit 4 OS=Homo sapiens GN=ALYREF PE=1 SV=3	THOC4_HUMAN	27 kDa	4	5	5	4	4	3	1	3	3	7	3	4
Beta-galactosidase OS=Homo sapiens GN=GLB1 PE=1 SV=2	BGAL_HUMAN	76 kDa	4	1	1	3	2	1	7	5	10	15	6	6
Protein YIPF3 OS=Homo sapiens GN=YIPF3 PE=1 SV=1	YIPF3_HUMAN	38 kDa	1	3	3	1	3	3	3	6	2	2	4	3
Insulin-like growth factor-binding protein 1 OS=Homo sapiens GN=IGFBP1 PE=1 SV=1	IBP1_HUMAN	28 kDa	0	0	0	0	0	0	11	14	8	12	8	7
Antileukoproteinase OS=Homo sapiens GN=SLPI PE=1 SV=2	SLPI_HUMAN	14 kDa	0	0	0	0	0	0	7	7	9	3	8	6
Protein shisa-5 OS=Homo sapiens GN=SHISA5 PE=2 SV=1	SHSA5_HUMAN	26 kDa	4	1	4	6	3	4	2	3	3	5	5	5
Matrin-3 OS=Homo sapiens GN=MATR3 PE=1 SV=2	MATR3_HUMAN	95 kDa	5	7	6	5	5	6	3	4	4	5	4	4
T-complex protein 1 subunit theta OS=Homo sapiens GN=CCT8 PE=1 SV=4	TCPQ_HUMAN	60 kDa	2	6	6	5	5	1	11	13	9	2	1	1
Twisted gastrulation protein homolog 1 OS=Homo sapiens GN=TWSG1 PE=2 SV=1	TWSG1_HUMAN	25 kDa	2	3	2	3	2	4	6	8	7	2	9	8
Methionine adenosyltransferase 2 subunit beta OS=Homo sapiens GN=MAT2B PE=1 SV=1	MAT2B_HUMAN	38 kDa	4	8	8	6	5	5	3	5	2	6	4	5
High mobility group protein HMG-I/HMG-Y OS=Homo sapiens GN=HMGA1 PE=1 SV=3	HMGA1_HUMAN	12 kDa	5	5	3	4	2	3	11	5	5	3	5	3
Plasma serine protease inhibitor OS=Bos taurus GN=SERPINA5 PE=1 SV=1	IPSP_BOVIN	45 kDa	3	4	4	5	4	3	4	0	3	7	7	7
Peptidyl-prolyl cis-trans isomerase-like 1 OS=Homo sapiens GN=PPIL1 PE=1 SV=1	PPIL1_HUMAN (+2)	18 kDa	3	4	5	4	5	5	7	7	5	7	7	7
Protein S100-A13 OS=Homo sapiens GN=S100A13 PE=1 SV=1	S10AD_HUMAN	11 kDa	3	5	7	6	8	5	2	2	2	4	2	2
Basigin OS=Homo sapiens GN=BSG PE=1 SV=2	BASI_HUMAN	42 kDa	3	3	3	5	3	4	4	6	4	8	5	3
Discoidin, CUB and LCCL domain-containing protein 2 OS=Homo sapiens GN=DCBLD2 PE=1 SV=1	DCBD2_HUMAN	85 kDa	3	4	2	3	4	2	2	5	4	8	5	4
High mobility group protein B2 OS=Homo sapiens GN=HMGB2 PE=1 SV=2	HMGB2_HUMAN	24 kDa	9	10	6	2	5	4	18	9	11	0	4	3
Myotrophin OS=Homo sapiens GN=MTPN PE=1 SV=2	MTPN_HUMAN	13 kDa	4	2	3	2	3	4	5	4	4	3	4	3
Perilipin-3 OS=Homo sapiens GN=PLIN3 PE=1 SV=3	PLIN3_HUMAN	47 kDa	5	5	6	2	5	6	4	2	0	1	1	1
Beta-1,4-galactosyltransferase 4 OS=Homo sapiens GN=B4GALT4 PE=1 SV=1	B4GT4_HUMAN	40 kDa	0	0	0	0	0	0	17	10	8	9	5	5
WNT1-inducible-signaling pathway protein 2 OS=Homo sapiens GN=WISP2 PE=1 SV=1	WISP2_HUMAN	27 kDa	0	0	0	0	0	0	8	9	7	14	9	13
Protein canopy homolog 2 OS=Homo sapiens GN=CNPY2 PE=1 SV=1	CNPY2_HUMAN	21 kDa	4	4	4	3	4	5	4	7	5	6	6	8
Extracellular matrix protein FRAS1 OS=Homo sapiens GN=FRAS1 PE=2 SV=1	FRAS1_HUMAN	443 kDa	1	1	2	1	1	0	5	5	7	3	3	3
Leukocyte elastase inhibitor OS=Homo sapiens GN=SERPINB1 PE=1 SV=1	ILEU_HUMAN	43 kDa	0	2	4	1	2	2	6	13	5	5	7	5
